iter	Passed	Remaining
484	641	680
485	642	679
486	643	677
487	644	676
488	645	674
489	646	672
490	647	671
491	648	669
492	649	668
493	650	666
494	651	665
495	652	663
496	653	661
497	655	660
498	656	659
499	657	657
500	659	656
501	660	654
502	661	653
503	662	652
504	663	650
505	664	648
506	665	646
507	666	645
508	667	643
509	668	642
510	670	641
511	671	640
512	672	638
513	673	636
514	674	635
515	675	633
516	676	631
517	677	630
518	678	628
519	679	626
520	679	625
521	680	623
522	681	621
523	682	620
524	684	619
525	686	618
526	687	616
527	688	615
528	689	613
529	690	612
530	691	610
531	692	608
532	693	607
533	694	605
534	695	604
535	696	602
536	696	600
537	697	599
538	699	598
539	701	597
540	702	595
541	703	594
542	704	593
543	705	591
544	706	589
545	707	588
546	708	586
547	709	585
548	710	583
549	711	582
550	712	580
551	713	579
552	714	577
553	715	576
554	716	574
555	717	573
556	719	572
557	720	570
558	721	569
559	722	567
560	723	566
561	724	564
562	725	562
563	726	561
564	727	559
565	728	558
566	729	557
567	730	555
568	731	554
569	732	552
570	733	551
571	734	549
572	735	548
573	736	546
574	737	545
575	738	543
576	739	542
577	740	540
578	741	539
579	743	538
580	744	536
581	745	535
582	746	533
583	748	532
584	749	531
585	749	529
586	750	528
587	751	526
588	752	525
589	753	523
590	754	522
591	755	520
592	756	519
593	757	517
594	758	516
595	760	515
596	760	513
597	761	512
598	762	510
599	763	509
600	764	507
601	765	506
602	766	504
603	767	502
604	768	501
605	768	499
606	769	498
607	770	496
608	771	495
609	772	493
610	773	492
611	775	491
612	776	490
613	777	488
614	778	487
615	779	485
616	780	484
617	781	482
618	782	481
619	782	479
620	783	478
621	784	477
622	785	475
623	786	474
624	788	472
625	789	471
626	790	470
627	791	469
628	792	467
629	794	466
630	794	464
631	795	463
632	796	461
633	797	460
634	798	458
635	799	457
636	800	456
637	801	454
638	802	453
639	803	452
640	804	450
641	805	449
642	806	447
643	807	446
644	809	445
645	810	444
646	811	442
647	812	441
648	813	439
649	814	438
650	815	436
651	815	435
652	816	434
653	817	432
654	819	431
655	820	430
656	821	428
657	822	427
658	823	426
659	824	424
660	825	423
661	826	421
662	827	420
663	828	419
664	829	417
665	830	416
666	831	414
667	831	413
668	833	412
669	834	411
670	835	409
671	837	408
672	838	407
673	839	405
674	840	404
675	841	403
676	842	401
677	843	400
678	844	399
679	845	397
680	846	396
681	847	394
682	848	393
683	849	392
684	850	391
685	851	389
686	852	388
687	853	387
688	854	385
689	855	384
690	856	383
691	857	381
692	858	380
693	859	379
694	860	377
695	861	376
696	862	375
697	864	373
698	865	372
699	865	371
700	866	369
701	867	368
702	868	367
703	869	365
704	870	364
705	871	362
706	872	361
707	873	360
708	874	358
709	875	357
710	876	356
711	877	354
712	878	353
713	879	352
714	880	351
715	881	349
716	882	348
717	883	347
718	884	345
719	885	344
720	886	343
721	887	341
722	888	340
723	889	339
724	890	337
725	891	336
726	892	335
727	893	333
728	894	332
729	895	331
730	896	330
731	897	328
732	898	327
733	899	326
734	900	324
735	901	323
736	902	322
737	903	320
738	904	319
739	905	318
740	906	316
741	907	315
742	908	314
743	909	312
744	910	311
745	911	310
746	912	308
747	913	307
748	914	306
749	915	305
750	916	303
751	917	302
752	918	301
753	918	299
754	919	298
755	920	297
756	922	296
757	923	294
758	925	293
759	926	292
760	927	291
761	928	289
762	929	288
763	930	287
764	931	286
765	932	284
766	933	283
767	934	282
768	935	280
769	936	279
770	937	278
771	938	277
772	939	275
773	940	274
774	941	273
775	942	272
776	943	270
777	944	269
778	945	268
779	947	267
780	948	266
781	949	264
782	952	263
783	953	262
784	954	261
785	955	260
786	956	258
787	957	257
788	958	256
789	958	254
790	959	253
791	960	252
792	961	251
793	962	249
794	963	248
795	964	247
796	965	245
797	967	244
798	968	243
799	969	242
800	969	240
801	970	239
802	971	238
803	972	237
804	973	235
805	974	234
806	975	233
807	976	231
808	977	230
809	978	229
810	979	228
811	980	226
812	981	225
813	982	224
814	983	223
815	984	222
816	985	220
817	986	219
818	987	218
819	988	216
820	989	215
821	990	214
822	990	213
823	991	211
824	992	210
825	993	209
826	995	208
827	996	206
828	997	205
829	998	204
830	999	203
831	1001	202
832	1002	200
833	1003	199
834	1004	198
835	1005	197
836	1006	195
837	1007	194
838	1008	193
839	1009	192
840	1010	191
841	1012	189
842	1013	188
843	1013	187
844	1014	186
845	1015	184
846	1016	183
847	1017	182
848	1018	181
849	1019	179
850	1020	178
851	1021	177
852	1022	176
853	1023	174
854	1024	173
855	1025	172
856	1027	171
857	1028	170
858	1029	168
859	1030	167
860	1031	166
861	1032	165
862	1033	164
863	1034	162
864	1035	161
865	1036	160
866	1037	159
867	1038	157
868	1038	156
869	1039	155
870	1041	154
871	1042	153
872	1043	151
873	1044	150
874	1045	149
875	1046	148
876	1046	146
877	1047	145
878	1048	144
879	1049	143
880	1050	141
881	1051	140
882	1052	139
883	1053	138
884	1054	137
885	1055	135
886	1056	134
887	1057	133
888	1058	132
889	1059	131
890	1060	129
891	1062	128
892	1063	127
893	1064	126
894	1065	125
895	1067	123
896	1068	122
897	1069	121
898	1070	120
899	1071	119
900	1072	117
901	1073	116
902	1074	115
903	1075	114
904	1076	112
905	1077	111
906	1078	110
907	1079	109
908	1079	108
909	1081	106
910	1083	105
911	1084	104
912	1085	103
913	1086	102
914	1087	101
915	1088	99
916	1089	98
917	1090	97
918	1091	96
919	1092	94
920	1093	93
921	1094	92
922	1095	91
923	1096	90
924	1097	88
925	1098	87
926	1099	86
927	1100	85
928	1101	84
929	1102	82
930	1103	81
931	1104	80
932	1104	79
933	1105	78
934	1106	76
935	1107	75
936	1108	74
937	1109	73
938	1110	72
939	1112	70
940	1113	69
941	1113	68
942	1114	67
943	1115	66
944	1116	64
945	1117	63
946	1118	62
947	1119	61
948	1120	60
949	1121	59
950	1122	57
951	1123	56
952	1123	55
953	1124	54
954	1125	53
955	1127	51
956	1128	50
957	1129	49
958	1130	48
959	1131	47
960	1131	45
961	1132	44
962	1133	43
963	1134	42
964	1135	41
965	1136	39
966	1137	38
967	1138	37
968	1139	36
969	1140	35
970	1141	34
971	1142	32
972	1143	31
973	1144	30
974	1145	29
975	1146	28
976	1147	27
977	1148	25
978	1149	24
979	1150	23
980	1151	22
981	1152	21
982	1153	19
983	1154	18
984	1155	17
985	1157	16
986	1158	15
987	1159	14
988	1160	12
989	1161	11
990	1162	10
991	1162	9
992	1163	8
993	1165	7
994	1166	5
995	1166	4
996	1167	3
997	1168	2
998	1169	1
999	1170	0
